id;a;b;tendency_a;tendency_b;constistency
1;Saya suka menolong teman-teman saya, apabila mereka dalam kesulitan;Saya ingin melakukan apa saja sebaik mungkin;Ach;Ach;Ach
2;Saya ingin mengetahui bagimana pandangan orang-orang besar, mengenai berbagai masalah yang menarik perhatian saya;Saya ingin menyelesaikan sesuatu yang sangat penting artinya;Def;Ach;
3;Saya menghendaki bahwa setiap pekerjaan tulis saya teliti, rapi dan tersusun dengan baik;Saya ingin menjadi seorang ahli yang diakui dalam suatu pekerjaan, jabatan atau bidang yang khusus;Ord;Ach;
4;Saya suka menceritakan cerita-cerita yang lucu dan lelucon-lelucon waktu pesta;Saya ingin menulis roman atau sandiwara yang hebat;Exh;Ach;
5;Saya ingin dapat berbuat sekehendak hati saya;Saya ingin bisa mengatakan bahwa saya telah melakukan dengan baik suatu pekerjaan yang sulit;Aut;Ach;
6;Saya ingin dapat memecahkan teka-teki dan persoalan-persoalan yang sukar bagi orang lain;Saya suka mengikuti petunjuk-petunjuk dan melakukan apa yang diharapkan orang lain dari saya;Ach;Def;
7;Saya ingin mengalami pembaharuan dan perubahan dalam kehidupan saya sehari-hari;Saya suka menyatakan kepada atasan saya bahwa mereka telah melakukan sesuatu pekerjaan yang baik, apabila memang demikian adanya;Def;Def;Def
8;Saya suka merencanakan dan mengatur detail-detail dari setiap pekerjaan yang harus saya lakukan;Saya suka mengikuti petunjuk-petunjuk dan melakukan apa yang diharapkan orang dari diri saya;Ord;Def;
9;Saya ingin orang-orang memperhatikan dan memberikan komentar mengenai penampilan saya di depan umum;Saya suka membaca riwayat hidup orang-orang besar;Exh;Def;
10;Saya suka mengelakkan situasi-situasi yang mengharapkan saya melakukan hal-hal dengan cara yang umum dilakukan orang;Saya suka membaca riwayat hidup orang-orang besar;Aut;Def;
11;Saya ingin menjadi seorang ahli yang diakui dalam suatu pekerjaan, jabatan atau bidang khusus;Sebelum memulai sesuatu pekerjaan saya ingin pekerjaan itu teratur dan terencanakan;Ach;Ord;
12;Saya ingin mengetahui bagaimana pandangan orang-orang besar/ahli, mengenai berbagai masalah yang menarik perhatian saya;Jika saya akan bepergian, saya senang apabila segala sesuatunya telah direncanakan sebelumnya;Def;Ord;
13;Saya suka menyelesaikan setiap pekerjaan atau tugas yang telah saya mulai;Saya ingin barang-barang saya tersusun rapi dan teratur di atas meja atau di dalam ruang kerja saya;Ord;Ord;Ord
14;Saya suka bercerita kepada orang-orang lain tentang petualangan-petualangan saya dan hal-hal aneh yang pernah saya alami;Saya suka makan saya teratur dan ada waktu-waktu tertentu untuk makan;Exh;Ord;
15;Saya ingin tidak tergantung dari orang lain dalam menentukan apa yang akan saya lakukan;Saya ingin barang-barang saya tersusun rapi dan teratur di atas meja atau di dalam ruang kerja saya;Aut;Ord;
16;Saya ingin bisa mengerjakan segala sesuatu lebih baik daripada orang-orang lain;Saya suka menceritakan cerita-cerita lucu dan lelucon-lelucon waktu pesta;Ach;Exh;
17;Saya suka mengikuti adat-istiadat dan menghindarkan melakukan hal-hal yang mungkin dianggap tidak wajar oleh orang-orang yang saya hormati;Saya suka berbicara tentang hal-hal yang telah saya capai;Def;Exh;
18;Saya ingin agar hidup saya teratur sedemikian rupa, sehingga berjalan lancar dan tanpa banyak perubahan-perubahan dalam rencana saya;Saya suka bercerita kepada orang-orang lain tentang petualangan-petualangan saya dan hal-hal aneh yang pernah saya alami;Ord;Exh;
19;Saya suka membaca buku-buku dan sandiwara, terutama yang berkisar sekitar masalah seks;Saya suka menjadi pusat perhatian, apabila saya ada di dalam suatu kelompok;Exh;Exh;Exh
20;Saya suka mengecam orang-orang yang kedudukannya memegang kekuasaan;Saya suka menggunakan kata-kata yang maknanya seringkali tidak diketahui oleh orang lain;Aut;Exh;
21;Saya suka menyelesaikan tugas-tugas yang dianggap orang lain sebagai tugas yang membutuhkan keterampilan dan usaha;Saya ingin dapat berbuat sekehendak hati saya;Ach;Aut;
22;Saya suka memuji orang yang saya kagumi;Saya ingin merasa bebas untuk melakukan apa yang saya kehendaki;Def;Aut;
23;Saya suka menyimpan surat-surat, bon-bon, dan kertas-kertas lain secara tersusun rapi dan menurut sistem tertentu;Saya ingin tidak tergantung dari orang lain dalam menentukan apa yang akan saya lakukan;Ord;Aut;
24;Saya suka mengajukan pertanyaan-pertanyaan yang menurut saya tidak seorangpun akan dapat menjawabnya;Saya suka mengecam orang-orang yang kedudukannya memegang kekuasaan;Exh;Aut;
25;Saya menjadi sedemikian marahnya, sehingga rasanya ingin melemparkan dan merusak barang-barang;Saya suka mengelakkan tanggung jawab dan kewajiban-kewajiban;Aut;Aut;Aut
26;Saya ingin berhasil dalam apa yang saya lakukan;Saya suka membuat teman-teman baru;Ach;Aff;Aff
27;Saya suka mengikuti petunjuk-petunjuk dan melakukan apa yang diharapkan orang dari diri saya;Saya ingin mempunyai ikatan perasaan yang kuat dengan teman teman saya;Def;Aff;
28;Saya menghendaki bahwa setiap pekerjaan tulis saya teliti, rapi dan tersusun dengan baik;Saya ingin membuat teman sebanyak mungkin;Ord;Aff;
29;Saya suka menceritakan cerita-cerita lucu dan lelucon-lelucon waktu pesta;Saya suka berkirim surat pada teman-teman saya;Exh;Aff;
30;Saya ingin berbuat sekehendak hati saya;Saya suka dalam melakukan atau menjalani segala sesuatu bersama-sama dengan teman-teman;Aut;Aff;
31;Saya ingin dapat memecahkan teka teki dan persoalan-persoalan yang sukar bagi orang lain;Saya suka menilai orang berdasarkan sebab-sebab mengapa mereka melakukan sesuatu, bukan berdasar apa yang sesungguhnya mereka lakukan;Ach;Int;
32;Saya suka menerima pimpinan dari orang-orang yang saya kagumi;Saya ingin memahami bagimana perasaan teman-teman saya dalam menghadapi berbagai masalah;Def;Int;Int
33;Saya suka makan saya teratur dan ada waktu-waktu tertentu untuk makan;Saya suka mempelajari dan menganalisa tingkah laku orang-orang lain;Ord;Int;
34;Saya suka mengatakan hal yang dianggap lucu dan cerdas oleh orang lain;Saya suka untuk menempatkan diri saya ditempat orang lain, dan membayangkan bagaimana perasaan saya apabila saya dalam keadaan atau situasi yang sama;Exh;Int;
35;Saya ingin merasa bebas untuk melakukan apa yang saya kehendaki;Saya suka mengamat-amati bagaimana perasaan orang lain dalam satu keadaan tertentu;Aut;Int;
36;Saya suka menyelesaikan tugas-tugas yang dianggap orang lain sebagai tugas yang membutuhkan keterampilan dan usaha;Saya ingin teman-teman saya memberi dorongan-dorongan kepada saya bila saya menghadapi kegagalan;Ach;Suc;
37;Dalam merencanakan sesuatu, saya ingin mendapat saran-saran dari orang-orang yang pendapatnya saya hormati;Saya ingin diperlakukan dengan ramah oleh teman-teman saya;Def;Suc;
38;Saya ingin agar hidup saya teratur sedemikian rupa sehingga berjalan lancar dan tanpa banyak perubahan-perubahan dalam rencana saya;Saya ingin teman-teman saya merasa kasihan pada saya apabila saya sedang sakit;Ord;Suc;Suc
39;Saya suka menjadi pusat perhatian, apabila syaa ada dalam suatu kelompok;Saya ingin agar teman-teman saya meributkan tentang diri saya, apabila mendapatkan cedera atau sakit;Exh;Suc;
40;Saya suka mengelakkan situasi-situasi yang mengharapkan saya melakukan hal-hal dengan cara yang umum dilakukan orang;Saya ingin agar teman-teman saya bersimpati terhadap saya dan menghibur saya bila saya bersusah hati;Aut;Suc;
41;Saya ingin menulis roman atau sandiwara yang hebat;Apabila saya bekerja dalam suatu panitia, saya ingin ditunjuk atau dipilih sebagai ketuanya;Ach;Dom;
42;Apabila saya berada dalam kelompok saya suka menerima pimpinan orang lain dalam memutuskan apa yang akan dilakukan oleh kelompok tersebut;Sedapat mungkin saya ingin membimbing dan mengarahkan tindakan atau perbuatan orang lain;Def;Dom;
43;Saya suka menyimpan surat-surat, bon-bon, dan kertas-kertas lainnya secara tersusun rapi dan menurut sistem tertentu;Saya ingin menjadi salah seorang pemimpin dalam organisasi-organisasi atau kelompok-kelompok dimana saya menjadi anggotanya;Ord;Dom;
44;Saya suka mengajukan pertanyaan-pertanyaan yang menurut saya tidak seorangpun akan dapat menjawabnya;Saya suka mengatakan pada orang-orang lain bagimana mereka harus melakukan pekerjaan mereka;Exh;Dom;Dom
45;Saya suka mengelakkan tanggung jawab dan kewajiban-kewajiban;Saya senang untuk diminta menyelesaikan pertentangan-pertentangan atau perselisihan-perselisihan;Aut;Dom;
46;Saya ingin menjadi ahli yang diakui dalam pekerjaan, jabatan atau bidang khusus;Saya merasa bersalah, apabila saya telah melakukan sesuatu yang saya ketahui keliru;Ach;Aba;
47;Saya suka membaca riwayat orang-orang besar;Saya merasa bahwa saya harus mengakui hal-hal yang telah saya lakukan dan saya anggap salah;Def;Aba;
48;Saya suka merencanakan dan mengatur detail-detail dari setiap pekerjaan yang harus saya lakukan;Bila keadaan kurang menguntungkan bagi saya, maka saya merasa bahwa saya harus lebih disalahkan daripada orang lain;Ord;Aba;
49;Saya suka menggunakan kata-kata yang maknanya seringkali tidak diketahui oleh orang lain;Saya merasa bahwa dalam banyak hal, saya kalah bila dibandingkan dengan orang-orang lain;Exh;Aba;
50;Saya suka mengecam orang-orang yang kedudukannya memegang kekuasaan;Saya merasa canggung ditengah-tengah orang-orang lain yang saya anggap sebagai atasan saya;Aut;Aba;Aba
51;Saya suka melakukan pekerjaan apa saja terbaik mungkin;Saya suka menolong orang-orang lain, yang tidak begitu beruntung apabila dibandingkan dengan keadaan saya;Ach;Nur;Nur
52;Saya ingin mengetahui bagimana pandangan orang-orang besar mengenai berbagai masalah yang menarik perhatian saya;Saya suka bermurah hati terhadap teman teman saya;Def;Nur;
53;Saya suka membuat rencana sebelum memulai pekerjaan yang sulit;Saya suka memberi pertolongan-pertolongan kecil kepada teman-teman saya;Ord;Nur;
54;Saya suka bercerita kepada orang-orang lain tentang petualangan-petualangan saya dan hal-hal aneh yang pernah saya alami;Saya ingin teman-teman saya mempercayai saya dan menceritakan kesulitan-kesulitan mereka kepada saya;Exh;Nur;
55;Saya suka menyatakan pendapat saya tentang berbagai hal;Saya suka memaafkan teman-teman saya yang menyakiti hati saya;Aut;Nur;
56;Saya ingin bisa mengerjakan segala sesuatu lebih baik daripada orang-orang lain;Saya suka makan di restoran-restoran yang baru atau asing;Ach;Chg;
57;Saya suka mengikuti adat-istiadat dan menghindarkan melakukan hal-hal yang mungkin dianggap tidak wajar oleh orang-orang yang saya hormati;Saya suka mengikuti mode-mode baru;Def;Chg;Chg
58;Sebelum memulai sesuatu pekerjaan saya ingin pekerjaan itu teratur dan terencanakan;Saya suka bepergian melihat-lihat daerah pedalaman;Ord;Chg;
59;Saya ingin orang-orang memperhatikan dan memberikan komentar mengenai penampilan saya di depan umum;Saya suka berkeliling di pedalaman dan tinggal di berbagai tempat;Exh;Chg;
60;Saya ingin tidak tergantung dari orang lain dalam menentukan apa yang akan saya lakukan;Saya suka mengerjakan hal-hal yang baru dan berbeda-beda;Aut;Chg;
61;Saya ingin bisa mengatakan bahwa saya telah melakukan dengan baik suatu pekerjaan yang sulit;Saya suka bekerja keras pada tiap pekerjaan yang saya hadapi;Ach;End;
62;Saya suka menyatakan kepada atasan saya bahwa mereka telah melakukan sesuatu pekerjaan yang baik, apabila memang demikian adanya;Saya ingin menyelesaikan pekerjaan satu-persatu sebelum memulai yang lainnya;Def;End;
63;Jika saya akan bepergian, saya senang apabila segala sesuatunya telah direncanakan sebelumnya;Saya suka mengerjakan teka-teki atau memecahkan persoalan-persoalan sampai selesai;Ord;End;End
64;Saya kadang-kadang suka melakukan hal-hal hanya untuk melihat bagaimana pengaruhnya terhadap orang lain;Saya suka bertahan menghadapi suatu pekerjaan atau masalah, sekalipun tampaknya seolah-olah saya tak akan berhasil;Exh;End;
65;Saya suka melakukan hal-hal yang dianggap orang lain tidak sesuai dengan adat kebiasaan;Saya ingin bekerja berjam-jam tanpa diganggu;Aut;End;
66;Saya ingin menyelesaikan sesuatu yang sangat penting artinya;Saya mempunyai keinginan untuk mencium orang yang menarik dari lawan jenis saya;Ach;Het;
67;Saya suka memuji orang yang saya kagumi;Saya ingin dianggap punya daya tarik fisik oleh orang-orang dari lawan jenis saya;Def;Het;
68;Saya ingin barang-barang saya tersusun rapi dan teratur di atas meja atau di dalam ruang kerja saya;Saya mudah jatuh cinta pada seseorang dari lawan jenis saya;Ord;Het;
69;Saya suka berbicara tentang hal-hal yang saya capai;Saya suka mendengarkan atau menceritakan lelucon-lelucon yang terutama berkisar soal seks;Exh;Het;Het
