id;text;tendency;modifier
1;Saya suka berkelompok;E;+
2;Saya suka menyendiri;E;-
3;Saya tergolong orang yang santai;E;+
4;Saya orang yang serius;E;-
5;Saya antusias;E;+
6;Saya suka menjauhkan diri dari orang lain;E;-
7;Saya suka mengemukakan pendapat dalam kelompok;E;+
8;Saya banyak menyerap informasi dari kelompok;E;-
9;Saya merasa energik dalam pesta-pesta;E;+
10;Saya merasa energi saya berkurang dalam pesta-pesta;E;-
11;Saya mempunyai banyak teman;E;+
12;Saya hanya berteman dengan beberapa orang tertentu;E;-
13;Saya mampu menyatakan pikiran saya ;E;+
14;Saya banyak menyimpan pemikiran saya ;E;-
15;Saya suka mencari kegiatan;E;+
16;Saya suka mencari waktu yang tenang;E;-
17;Saya senang berbicara;E;+
18;Saya lebih suka mendengarkan;E;-
19;Saya suka membagikan pengalaman pribadi saya ;E;+
20;Saya sulit didekati;E;-
21;Saya menyukai pengalaman baru  ;E;+
22;Saya menyukai rutinitas;E;-
23;Saya ingin selalu bersama orang lain;E;+
24;Saya lebih menyukai obyektivitas;E;-
25;Saya mudah terpengaruh penedapat orang lain;E;+
26;Saya lebih banyak bertanya pada diri sendiri;E;-
27;Saya mudah mengekspresikan emosi;E;+
28;Saya berlatih untuk mengontrol diri;E;-
29;Saya memberi tanggapan terhadap sesuatu dengan cepat ;E;+
30;Saya berhati-hati dalam menanggapi sesuatu;E;-
31;Saya realistis;S;+
32;Saya inspirational;S;-
33;Saya menyukai rutinitas ;S;+
34;Saya suka kegiatan yang variatif ;S;-
35;Saya berflkir menggunakan fakta ;S;+
36;Saya berlikir tentang kemungkinan-kemungkinan  ;S;-
37;Saya suka dengan ketepatan;S;+
38;Saya suka menampung sumbang saran ;S;-
39;Saya sangat memperhatikan fakta saat ini ;S;+
40;Saya lebih berorientasi pada masa mendatang  ;S;-
41;Saya lebih mengandalkan panca indera;S;+
42;Saya mengandalkan indera keenam saya ;S;-
43;Saya lebih mendasarkan diri pada kenyataan ;S;+
