id;a;b;tendency_a;tendency_b
1;Saya seorang pekerja keras;Saya bukan seorang pemurung;G;E
2;Saya suka bekerja lebih baik dari orang lain;Saya suka mengerjakan apa yang sedang saya kerjakan, sampai selesai;A;N
3;Saya suka menunjukkan caranya melaksanakan sesuatu hal;Saya ingin bekerja sebaik mungkin;P;A
4;Saya suka berkelakar;Saya senang mengatakan kepada orang lain, apa yang harus dilakukannya;X;P
5;Saya suka menggabungkan diri dengan kelompok-kelompok;Saya suka diperhatikan oleh kelompok-kelompok;B;X
6;Saya senang bersahabat intim dengan seseorang;Saya senang bersahabat dengan sekelompok orang;O;B
7;Saya cepat berubah bila hal itu diperlukan;Saya berusaha untuk intim dengan teman-teman;Z;O
8;Saya suka membalas dendam bila saya benar-benar disakiti;Saya suka melakukan hal-hal yang baru dan berbeda;K;Z
9;Saya ingin atasan saya menyukai saya;Saya suka mengatakan kepada orang lain, bila mereka salah;F;K
10;Saya suka mengikuti perintah-perintah yang diberikan kepada saya;Saya suka menyenangkan hati orang yang memimpin saya;W;F
11;Saya mencoba sekuat tenaga;Saya seorang yang tertib.;G;C
12;Saya membuat orang lain melakukan apa yang saya inginkan;Saya bukan seorang yang cepat gusar;L;E
13;Saya suka mengatakan kepada kelompok, apa yang harus dilakukan;Saya menekuni satu pekerjaan sampai selesai;P;N
14;Saya ingin tampak bersemangat dan menarik;Saya ingin menjadi sangat sukses;X;A
15;Saya suka menyelaraskan diri dengan kelompok;Saya suka membantu orang lain menentukan pendapatnya;B;P
16;Saya cemas kalau orang lain tidak menyukai saya;Saya senang kalau orang-orang memperhatikan saya;O;X
17;Saya suka mencoba sesuatu yang baru;Saya lebih suka bekerja bersama orang-orang daripada bekerja sendiri;Z;B
18;Kadang-kadang saya menyalahkan orang lain bila tejadi sesuatu kesalahan;Saya cemas bila seseorang tidak menyukai saya;K;O
19;Saya suka menyenangkan hati orang yang memimpin saya;Saya suka mencoba pekerjaan-pekerjaan yang baru dan berbeda;F;Z
20;Saya menyukai petunjuk yang terinci untuk melakukan sesuatu pekerjaan;Saya suka mengatakan kepada orang lain bila mengganggu saya;W;K
21;Saya selalu mencoba sekuat tenaga;Saya senang bekerja dengan sangat cermat dan hati-hati;G;D
22;Saya adalah seorang pemimpin yang baik;Saya mengorganisir tugas-tugas secara baik;L;C
23;Saya mudah menjadi gusar;Saya seorang yang lambat dalam membuat keputusan;I;E
24;Saya senang mengerjakan beberapa pekerjaan pada waktu yang bersamaan;Bila di dalam kelompok, saya lebih suka diam;X;N
25;Saya senang bila diundang;Saya ingin melakukan sesuatu lebih baik dari orang lain;B;A
26;Saya suka berteman intim dengan teman-teman saya;Saya suka memberi nasihat kepada orang lain;O;P
27;Saya suka melakukan hal-hal yang baru dan berbeda;Saya suka menceritakan keberhasilan saya dalam mengerjakan tugas;Z;X
28;Bila saya benar, saya suka mempertahankannya mati-matian;Saya suka bergabung ke dalam suatu kelompok;K;B
29;Saya tidak mau berbeda dengan orang lain;Saya berusaha untuk sangat intim dengan orang-orang;F;O
30;Saya suka diajari mengenai caranya mengerjakan suatu pekerjaan;Saya mudah merasa jemu (bosan);W;Z
31;Saya bekerja keras;Saya banyak berpikir dan berencana;G;R
